IMT.L,1948, 4:35PM,01/13/2010,-4,1959,1968,1938,20403,Fresh Forward
STAN.L,1546, 4:35PM,01/13/2010,-4,1540,1566.5,1536.5,43067,Fresh Forward
TLW.L,1294, 4:35PM,01/13/2010,-4,1288,1303,1275,24025,Fresh Forward
TMPL.L,765, 4:35PM,01/13/2010,-4,766,775,765,583,Fresh Forward
ULE.L,1375, 4:35PM,01/13/2010,-4,1382,1388,1370,1757,Fresh Forward
BBAY.L,350.5, 4:35PM,01/13/2010,-3.9,355,359.6,345,1526,Fresh Forward
FRCL.L,275.9, 4:35PM,01/13/2010,-3.9,278.1,278.5,274.7,6997,Fresh Forward
TOMK.L,207.4, 4:35PM,01/13/2010,-3.9,207,209,204.5,63781,Fresh Forward
DNLM.L,370.1, 4:35PM,01/13/2010,-3.8,368.8,378.8,366.9,1224,Fresh Forward
TLPR.L,308, 4:35PM,01/13/2010,-3.8,311.4,314,308,20454,Fresh Forward
UBM.L,441.2, 4:35PM,01/13/2010,-3.8,443,445.1,435.5,15348,Fresh Forward
BRWM.L,575, 4:35PM,01/13/2010,-3.5,573.5,581,573.5,2287,Fresh Forward
DIG.L,182, 4:35PM,01/13/2010,-3.5,185.9,185.9,182,415,Fresh Forward
HOIL.L,485.5, 4:35PM,01/13/2010,-3.5,483.5,489,483.5,6092,Fresh Forward
III.L,281, 4:36PM,01/13/2010,-3.5,282,285.5,278.6,41034,Fresh Forward
ISAT.L,680, 4:35PM,01/13/2010,-3.5,683.5,687,674.5,13123,Fresh Forward
LWDB.L,290.5, 4:40PM,01/13/2010,-3.5,295,295,289,934,Fresh Forward
TRMA.L,121, 4:35PM,01/13/2010,-3.5,124,124,120.1,7908,Fresh Forward
WEIR.L,791, 4:35PM,01/13/2010,-3.5,789.5,799.5,771,16467,Fresh Forward
EAGA.L,140.6, 4:35PM,01/13/2010,-3.4,142.7,144.6,137,8629,Fresh Forward
EFM.L,193, 4:35PM,01/13/2010,-3.4,197,197,189.1,904,Fresh Forward
JII.L,384, 4:35PM,01/13/2010,-3.3,387.4,390.8,382.9,2398,Fresh Forward
XCH.L,207.9, 4:35PM,01/13/2010,-3.2,210,210,207,876,Fresh Forward
JAI.L,193.2, 4:35PM,01/13/2010,-3.1,195.1,197.7,192.8,393,Fresh Forward
EXPN.L,595, 4:35PM,01/13/2010,-3,597,598,591.5,19247,Fresh Forward
PNN.L,537, 4:35PM,01/13/2010,-3,538,545,533,9798,Fresh Forward
ARM.L,187.9, 4:35PM,01/13/2010,-2.9,189.3,190.2,185.7,97516,Fresh Forward
BARC.L,313.7, 4:35PM,01/13/2010,-2.9,312.25,314.3,310.5,538651,Fresh Forward
PAG.L,128, 4:35PM,01/13/2010,-2.88,127.7,130.8,127.7,4995,Fresh Forward
EVG.L,137.1, 4:35PM,01/13/2010,-2.8,138.1,140,137.1,2632,Fresh Forward
GSS.L,407.25, 1:50PM,12/14/2009,-2.75,407.5,407.75,407.25,41,Fresh Forward
PCT.L,256.5, 4:35PM,01/13/2010,-2.5,258,258.8,256.5,578,Fresh Forward
MSY.L,220.9, 4:35PM,01/13/2010,-2.4,220.8,225,220,14815,Fresh Forward
PIC.L,204, 4:35PM,01/13/2010,-2.4,204.8,207,203,4773,Fresh Forward
SMDR.L,297.2, 4:35PM,01/13/2010,-2.4,305,305,296,3678,Fresh Forward
PRTY.L,264.2, 4:35PM,01/13/2010,-2.3,268.3,271.1,263,11311,Fresh Forward
RWD.L,495.7, 4:35PM,01/13/2010,-2.3,495.5,500,493.1,203,Fresh Forward
BWNG.L,246.7, 4:35PM,01/13/2010,-10.8,252,254.1,244.7,9460,Fresh Forward
HSBA.L,717.7, 4:35PM,01/13/2010,-10.7,719.4,724.5,714.1,233322,Fresh Forward
INF.L,313.6, 4:35PM,01/13/2010,-10.4,325,327.9,312,12404,Fresh Forward
BHMG.L,1795, 4:35PM,01/13/2010,-10,1791,1805,1791,163,Fresh Forward
CHG.L,2889, 4:35PM,01/13/2010,-10,2936,2950,2875,963,Fresh Forward
GRG.L,405, 4:37PM,01/13/2010,-10,415,417,402.8,9411,Fresh Forward
IAP.L,429.7, 4:35PM,01/13/2010,-10,436.7,438.2,427.4,32905,Fresh Forward
ITRK.L,1214, 4:35PM,01/13/2010,-10,1224,1225,1195,3673,Fresh Forward
HTG.L,574, 4:35PM,01/13/2010,-9.5,585,586,571,2087,Fresh Forward
JFF.L,695.5, 4:35PM,01/13/2010,-9.5,706.5,707.5,695.5,83,Fresh Forward
JLT.L,467, 4:35PM,01/13/2010,-9.3,476.9,477.6,461.2,5503,Fresh Forward
STHR.L,303, 4:35PM,01/13/2010,-9.2,309.1,310.1,299.4,1421,Fresh Forward
AVV.L,1043, 4:35PM,01/13/2010,-9,1042,1055,1034,1195,Fresh Forward
KAZ.L,1426, 4:35PM,01/13/2010,-9,1421,1450,1408,21469,Fresh Forward
VCT.L,831, 4:35PM,01/13/2010,-9,842,851,830.5,313,Fresh Forward
MRS.L,311, 4:35PM,01/13/2010,-8.6,322.1,325,302.5,64,Fresh Forward
ENRC.L,982.5, 4:35PM,01/13/2010,-8.5,987.5,1021,972.5,18260,Fresh Forward
SSL.L,760, 4:35PM,01/13/2010,-8.5,772,772.5,756,4920,Fresh Forward
DLN.L,1325, 4:35PM,01/13/2010,-8,1325,1340,1309,1742,Fresh Forward
RIO.L,3538.5, 4:35PM,01/13/2010,-19,3528.5,3618,3502,50920,Fresh Forward
DNX.L,1254, 4:35PM,01/13/2010,-18,1254,1273,1250,4047,Fresh Forward
LSE.L,680, 4:35PM,01/13/2010,-16,692,694,678,8919,Fresh Forward
HOC.L,335, 4:35PM,01/13/2010,-15.7,352,352,334,2391,Fresh Forward
GSK.L,1275, 4:35PM,01/13/2010,-15,1290,1299,1270.5,99433,Fresh Forward
RAT.L,845, 4:35PM,01/13/2010,-15,857,861,841,86,Fresh Forward
WSM.L,520, 4:35PM,01/13/2010,-15,535,537.5,512.5,5078,Fresh Forward
RCP.L,1029, 4:35PM,01/13/2010,-14,1030,1041,1027,305,Fresh Forward
AMEC.L,779, 4:35PM,01/13/2010,-13.5,786,792,766,19836,Fresh Forward
BLT.L,2042.5, 4:35PM,01/13/2010,-13.5,2052,2091.5,2026,91920,Fresh Forward
CLDN.L,1635, 4:35PM,01/13/2010,-13,1638,1660,1635,151,Fresh Forward
FRES.L,795.5, 4:35PM,01/13/2010,-12.5,801,826.5,792,7232,Fresh Forward
DPH.L,462, 4:35PM,01/13/2010,-12,478,482,462,510,Fresh Forward
FSV.L,548, 4:35PM,01/13/2010,-12,555.5,559.5,548,75,Fresh Forward
KIE.L,1061, 4:35PM,01/13/2010,-12,1079,1082,1048,153,Fresh Forward
TCY.L,404.5, 4:35PM,01/13/2010,-12,415,417.9,404.5,1061,Fresh Forward
TPK.L,821, 4:35PM,01/13/2010,-6,830,835,811.5,9777,Fresh Forward
SCIN.L,457, 4:35PM,01/13/2010,-5.95,456.3,459.2,452.5,206,Fresh Forward
MRCH.L,350, 4:35PM,01/13/2010,-5.9,354.5,356.5,350,525,Fresh Forward
CKSN.L,461, 4:35PM,01/13/2010,-5.5,467.8,470.8,455.5,15953,Fresh Forward
PAY.L,424.8, 4:35PM,01/13/2010,-5.5,428.8,433.4,410,150,Fresh Forward
PRU.L,624, 4:35PM,01/13/2010,-5.5,627,638,619.5,49574,Fresh Forward
DCG.L,337.8, 4:35PM,01/13/2010,-5.4,340,351.2,337.8,4285,Fresh Forward
IGG.L,377.6, 4:35PM,01/13/2010,-5.1,385.1,391.4,373.1,11000,Fresh Forward
BNKR.L,370, 4:39PM,01/13/2010,-5,370.1,375,366,799,Fresh Forward
CPI.L,732.5, 4:35PM,01/13/2010,-5,737.5,741,727.5,10005,Fresh Forward
CWK.L,744, 4:37PM,01/13/2010,-5,750,768.5,739,231,Fresh Forward
GNS.L,685, 4:35PM,01/13/2010,-5,691.5,691.5,685,101,Fresh Forward
TEM.L,539.5, 4:35PM,01/13/2010,-5,543,546,538.5,7734,Fresh Forward
FXPO.L,230.9, 4:35PM,01/13/2010,-4.9,237,239.7,227.8,12267,Fresh Forward
WG.L,337.9, 4:35PM,01/13/2010,-4.8,338.8,344.5,332.6,15220,Fresh Forward
ASHM.L,245.4, 4:35PM,01/13/2010,-4.6,246.4,255.4,241.1,10604,Fresh Forward
GPOR.L,290.6, 4:35PM,01/13/2010,-4.3,293,296.8,289.2,5124,Fresh Forward
ERM.L,453.8, 4:35PM,01/13/2010,-4.2,455,458.4,452,161,Fresh Forward
MKS.L,368.4, 4:35PM,01/13/2010,-4.1,370.7,374.4,366.6,124208,Fresh Forward
MNKS.L,299.8, 4:35PM,01/13/2010,-4.1,304.8,305,299.8,674,Fresh Forward
